model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Fujifilm MX-2700,1999,1800.0,2.0,50.0,260.0,169.0
Fujifilm MX-2900 Zoom,1999,1800.0,2.0,90.0,385.0,179.0
Fujifilm FinePix 4700 Zoom,2000,2400.0,2.0,80.0,280.0,169.0
Fujifilm MX-500,1998,1280.0,1.0,50.0,220.0,169.0
Fujifilm MX-600 Zoom,1999,1280.0,1.0,90.0,0.0,179.0
Fujifilm MX-700,1998,1280.0,1.0,50.0,260.0,169.0
Fujifilm FinePix S1 Pro,2000,3040.0,3.0,0.0,820.0,1699.0
Fujifilm FinePix S2 Pro,2002,4256.0,6.0,0.0,850.0,1699.0
Fujifilm FinePix S3 Pro,2004,4256.0,6.0,0.0,930.0,1699.0
Fujifilm FinePix S5 Pro,2006,4256.0,6.0,0.0,920.0,1699.0
HP Photosmart 320,2002,1632.0,2.0,75.0,240.0,179.0
HP Photosmart 435,2003,2048.0,3.0,85.0,190.0,179.0
HP Photosmart 620,2002,1632.0,2.0,20.0,280.0,179.0
HP Photosmart 635,2003,1636.0,2.0,80.0,240.0,179.0
HP Photosmart 715,2001,2048.0,3.0,60.0,320.0,179.0
HP Photosmart 720,2002,2048.0,3.0,20.0,340.0,179.0
HP Photosmart 735,2003,2080.0,3.0,0.0,290.0,179.0
HP Photosmart 812,2002,2272.0,3.0,50.0,245.0,179.0
HP Photosmart 850,2002,2272.0,3.0,50.0,489.0,179.0
HP Photosmart 935,2003,2608.0,5.0,50.0,260.0,179.0
HP Photosmart 945,2003,2608.0,5.0,50.0,500.0,179.0
HP Photosmart C20,1998,1152.0,1.0,60.0,300.0,179.0
HP Photosmart C200,1999,1152.0,1.0,60.0,300.0,179.0
HP Photosmart C215,2000,1280.0,1.0,60.0,290.0,179.0
HP Photosmart C30,1998,1152.0,1.0,60.0,300.0,179.0
HP Photosmart C315,2000,1600.0,1.0,30.0,280.0,179.0
HP Photosmart C500,1999,1600.0,1.0,0.0,410.0,179.0
HP Photosmart C618,2000,1600.0,1.0,50.0,630.0,179.0
HP Photosmart C912,2000,1600.0,1.0,50.0,150.0,179.0
HP Photosmart E317,2005,2560.0,5.0,60.0,231.0,179.0
HP Photosmart E327,2006,2560.0,5.0,60.0,170.0,179.0
HP Photosmart E337,2007,2576.0,5.0,100.0,170.0,179.0
HP Photosmart M22,2005,2320.0,4.0,0.0,172.0,179.0
HP Photosmart M23,2005,2320.0,4.0,0.0,172.0,179.0
HP Photosmart M307,2004,2080.0,3.0,80.0,177.0,179.0
HP Photosmart M407,2004,2320.0,4.0,50.0,190.0,179.0
HP Photosmart M417,2005,2576.0,5.0,50.0,181.0,179.0
HP Photosmart M425,2006,2576.0,5.0,50.0,172.0,179.0
HP Photosmart M437,2007,2576.0,5.0,50.0,190.0,179.0
HP Photosmart M517,2005,2576.0,5.0,80.0,190.0,179.0
HP Photosmart M525,2006,2800.0,6.0,50.0,192.0,179.0
HP Photosmart M527,2006,2800.0,6.0,50.0,227.0,179.0
HP Photosmart M537,2007,2848.0,6.0,50.0,157.0,179.0
HP Photosmart Mz67,2007,3264.0,8.0,0.0,157.0,179.0
HP Photosmart R507,2004,2320.0,4.0,50.0,205.0,179.0
HP Photosmart R607,2004,2320.0,4.0,50.0,205.0,179.0
HP Photosmart R707,2004,2608.0,5.0,50.0,150.0,179.0
HP Photosmart R717,2005,2864.0,6.0,50.0,150.0,179.0
HP Photosmart R725,2006,2864.0,6.0,50.0,136.0,179.0
HP Photosmart R727,2006,2864.0,6.0,50.0,190.0,179.0
HP Photosmart R742,2007,3096.0,7.0,50.0,190.0,179.0
HP Photosmart R817,2005,2592.0,5.0,20.0,205.0,179.0
HP Photosmart R818,2005,2592.0,5.0,20.0,200.0,179.0
HP Photosmart R837,2007,3112.0,7.0,50.0,227.0,179.0
JVC GC-QX3HD,2001,2032.0,3.0,50.0,320.0,14.0
JVC GC-QX5HD,2001,2032.0,3.0,50.0,320.0,14.0
Kodak C300,2005,2096.0,3.0,80.0,198.0,129.0
Kodak C310,2005,2336.0,4.0,85.0,154.0,129.0
Kodak C330,2005,2336.0,4.0,60.0,180.0,129.0
Kodak C340,2005,2576.0,5.0,60.0,198.0,129.0
Kodak C360,2005,2690.0,5.0,60.0,170.0,129.0
Kodak C433,2006,2304.0,4.0,60.0,180.0,126.0
Kodak C513,2007,2572.0,5.0,60.0,188.0,126.0
Kodak C533,2006,2576.0,5.0,60.0,200.0,126.0
Kodak C613,2007,2848.0,6.0,60.0,187.0,126.0
Kodak C643,2006,2848.0,6.0,60.0,195.0,126.0
Kodak C653,2007,2848.0,6.0,60.0,195.0,126.0
Kodak C663,2006,2832.0,6.0,60.0,190.0,126.0
Kodak C743,2006,3072.0,7.0,60.0,195.0,126.0
Kodak C763,2007,3072.0,7.0,60.0,180.0,126.0
Kodak C875,2006,3264.0,8.0,60.0,225.0,126.0
Kodak CX4200,2002,1632.0,2.0,75.0,250.0,129.0
Kodak CX4230,2002,1632.0,2.0,50.0,280.0,129.0
Kodak CX4300,2002,2080.0,3.0,30.0,250.0,126.0
Kodak CX6200,2003,1632.0,2.0,50.0,195.0,129.0
Kodak CX6230,2003,1632.0,2.0,50.0,225.0,129.0
Kodak CX6330,2003,2032.0,3.0,60.0,225.0,126.0
Kodak CX7220,2004,0.0,2.0,50.0,195.0,129.0
Kodak CX7300,2004,2096.0,3.0,80.0,162.0,126.0
Kodak CX7330,2004,2032.0,3.0,60.0,225.0,126.0
Kodak CX7430,2004,2408.0,4.0,60.0,198.0,126.0
Kodak CX7530,2004,2560.0,4.0,60.0,240.0,126.0
Kodak DC200,1998,1152.0,0.0,70.0,400.0,129.0
Kodak DC200 plus,1999,1152.0,0.0,70.0,400.0,129.0
Kodak DC210 plus,1998,1152.0,0.0,50.0,400.0,129.0
Kodak DC215,1999,1152.0,0.0,50.0,320.0,129.0
